1,BUENOS AIRES,Almirante Brown,Changomas - Avenida Espora  2074,330
2,BUENOS AIRES,Avellaneda,Walmart - Autopista Buenos Aires La Plata Km. 9 ,316
3,BUENOS AIRES,Avellaneda,Walmart - Güemes  861,299
4,BUENOS AIRES,Bahía Blanca,Walmart - Sarmiento  4114,302
5,BUENOS AIRES,Laferrere,Walmart - Ruta N°21  1150,359
6,BUENOS AIRES,San Justo,Walmart - Juan Manuel De Rosas  3990,298
7,BUENOS AIRES,La Tablada,Walmart - Monseñor Bufano  6050,317
8,BUENOS AIRES,La Plata,Walmart - Camino Centenario  1876,301
9,BUENOS AIRES,Lanús,Changomas - Bolevard De Los Italianos  321,357
10,BUENOS AIRES,Lomas de Zamora,Changomas - Cerriro  1800,379
11,BUENOS AIRES,Luján,Walmart - Payro  198,332
12,BUENOS AIRES,Malvinas Argentinas,Changomas - Avenida del Sequicentenario,336
13,BUENOS AIRES,Moreno,Changomas - Avenida Julio Roca  3500,335
14,BUENOS AIRES,Olavarría,Walmart - Rivadavia  4370,342
15,BUENOS AIRES,Pilar,Walmart - Ruta Panamericana Km. 52 ,393
16,BUENOS AIRES,Quilmes,Walmart - Avenida Calchaquí  700,318
17,BUENOS AIRES,San Fernando,Walmart - Camino Bancalari ,313
18,BUENOS AIRES,Tigre,Changomas - Colombia  1212,322
19,BUENOS AIRES,Caseros,Walmart - Avenida Justo Jose De Urquiza  4350,403
20,BUENOS AIRES,Tres de Febrero,Changomas - Avenida  Pte Juan Domingo Peron  9150,347
21,CATAMARCA,San Fernando del Valle de Catamarca,Changomas - Avenida Acosta Villafañez  2420,331
22,CHACO,Resistencia,Walmart - Ruta 11,366
23,CHUBUT,Comodoro Rivadavia,"Walmart - Ruta Nacional N°3 (Km. 4, 4)",395
24,CHUBUT,Puerto Madryn,Changomas - Juan B. Justo  1885,406
25,CHUBUT,Trelew,Changomas - Avenida Eva Peron  719,345
26,CIUDAD AUTÓNOMA DE BUENOS AIRES,DOT Baires,Walmart - Arias  3771,326
27,CIUDAD AUTÓNOMA DE BUENOS AIRES,Constituyentes,Walmart - Albarellos  2565,297
28,CORDOBA,Cordoba Capital,Walmart - Avenida Colón  6051,305
29,CORDOBA,Cordoba Capital,Changomas - Avenida Fuerza Aerea  4372,355
30,CORDOBA,Cordoba Capital,Walmart - Avenida Circunvalación  2557,321
31,CORDOBA,Cordoba Capital,Walmart - Mauricio Yadarola  1699,306
32,CORDOBA,Río Cuarto,Walmart - Juan B. Justo  2052,310
33,CORDOBA,Villa Nueva,Changomas - Avenida Carranza  980,353
34,CORRIENTES,Corrientes,Walmart - Avenida  Del Iv Centenario  3550,315
35,CORRIENTES,Corrientes,Changomas - Avenida Maipu  2803,368
36,ENTRE RIOS,Paraná,Walmart - Avenida F Arias De Larramendi  1490,304
37,ENTRE RIOS,Paraná,Changomas - Alte. G. Brown  1779,343
38,FORMOSA,Formosa,Changomas - Avenida Gutnisky  3636,327
39,JUJUY,San Pedro,Changomas - San Gabriel  712,405
40,JUJUY,San Salvador de Jujuy,Changomas - Riobamba,334
41,LA PAMPA,Santa Rosa,Changomas - Av. Circunvalación Santiago Marzo  1550,328
42,LA RIOJA,La Rioja,Changomas - Avenida Ortiz de Ocampo  1187,311
43,MENDOZA,Godoy Cruz,Walmart - San Martin Sur  3575,378
44,MENDOZA,Guaymallén,Walmart - Cnel. José Moldes 1023,309
45,MENDOZA,Las Heras,Walmart - Avenida Boulogne Sur Mer  1301,314
46,MENDOZA,Maipú,Changomas - Maza,329
47,MENDOZA,San Martín,Changomas - Boulogne Sur Mer  700,365
48,MISIONES,Posadas,Changomas - Avenida Tambor De Tacuari  5158,358
49,MISIONES,Posadas,Changomas - Avenida Alicia Moreau De Justo,402
50,NEUQUEN,Neuquén,Walmart - Eugenio Perticone  1255,308
51,NEUQUEN,Neuquén,Changomas - Gral Manuel Belgrano  2735,324
52,RIO NEGRO,Cipoletti,Changomas - Bolivia  1169,350
53,RIO NEGRO,Viedma,Changomas - Tierra Del Fuego  514,351
54,SALTA,Salta,Changomas - Avenida Paraguay  1260,319
55,SAN JUAN,San Juan,Walmart - Avenida Ignacio De La Roza  806,312
56,SAN LUIS,San Luis,Walmart - Avenida Del Fundador  1450,307
57,SAN LUIS,Villa Mercedes,Changomas - Pte. J. D. Perón  825,361
58,SANTA FE,Santa Fe,Walmart - Ruta 168  Km 473  473,303
59,SANTIAGO DEL ESTERO,Santiago del Estero,Changomas - Colectora Circunvalación,320
60,TUCUMAN,Banda del Río Salí,Changomas - Avenida San Martín,333
61,TUCUMAN,Concepción,Changomas - Avenida Güemes,392
62,TUCUMAN,San Miguel de Tucumán,Walmart - Camino del Perú  950,323
63,TUCUMAN,San Miguel de Tucumán,Changomas - Avenida Ejército del Norte 2200,401
64,BUENOS AIRES,Claypole,Changomas - Av Lacaze 3963,409
